trial number	key_resp.corr
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	0
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	1
0.05	0
0.05	1
0.05	1
0.05	1
